year,month,outcome,lon,lat,shark_type,shark_length,num_sharks,provoked,victim_activity,age,gender
1989,11,injured,153.4,-28.03333333,bull shark,2,1,unprovoked,swimming,10,male
1989,12,injured,136.8166667,-12.28333333,tiger shark,2,1,provoked,swimming,17,male
1990,4,uninjured,153.5333333,-28.15,tiger shark,4,1,unprovoked,boarding,31,male
1990,4,uninjured,153.55,-28.18333333,white shark,3,1,unprovoked,boarding,29,male
1990,5,injured,145.8833333,-16.21666667,hammerhead shark ,3,1,provoked,snorkelling,33,female
1990,5,injured,145.8833333,-16.21666667,hammerhead shark ,3,1,provoked,snorkelling,44,male
1990,9,injured,153.0833333,-25.9,wobbegong,0.6,1,unprovoked,other: standing in water,13,male
1990,10,injured,153.4,-28.03333333,bull shark,1.8,1,unprovoked,swimming,26,male
1990,10,injured,138.7666667,-35.51666667,white shark,1.1,1,unprovoked,boarding,20,male
1990,11,injured,153.4166667,-28,bull shark,1.5,1,unprovoked,swimming,26,male
1991,1,uninjured,144.65,-38.26666667,bronze whaler shark,3,1,provoked,spearfishing,14,male
1991,1,uninjured,151.3666667,-33.51666667,dusky shark,1.2,1,unprovoked,snorkelling,45,male
1991,1,injured,153.4,-28.03333333,bull shark,1.5,1,unprovoked,swimming,29,male
1991,3,injured,150.8666667,-34.56666667,grey nurse shark,2,1,provoked,diving,18,male
1991,9,fatal,138.4333333,-35.28333333,white shark,4,1,unprovoked,diving,19,male
1991,11,injured,115.7,-32.51666667,white shark,1,1,unprovoked,boarding,14,male
1992,1,injured,153.5333333,-28.16666667,white shark,2.8,1,unprovoked,boarding,19,male
1992,2,uninjured,152.35,-24.86666667,tiger shark,3,1,unprovoked,boarding,22,male
1992,3,injured,144.6,-38.28333333,white shark,2.7,1,unprovoked,boarding,17,male
1992,8,injured,135.1666667,-34.25,white shark,3.5,1,unprovoked,boarding,16,male
1992,10,fatal,153.4,-27.08333333,white shark,4.2,1,unprovoked,boarding,28,male
1993,1,injured,148.8833333,-20.05,whitetip reef shark,1.5,1,provoked,spearfishing,21,male
1993,4,uninjured,146.9833333,-40.93333333,white shark,3,1,provoked,spearfishing,32,male
1993,6,fatal,146.9833333,-40.93333333,white shark,4,1,unprovoked,diving,35,female
1993,6,fatal,153.6166667,-28.63333333,white shark,6,1,unprovoked,diving,31,male
1993,11,fatal,122.2333333,-17.96666667,tiger shark,4,1,provoked,diving,28,male
1993,12,uninjured,150.5,-23.36666667,whaler shark,2,1,unprovoked,boarding,13,male
1994,1,injured,153.8333333,-27.53333333,bull shark,1.5,1,unprovoked,swimming,22,male
1994,2,injured,139.8333333,-37.31666667,wobbegong,1.6,1,provoked,fishing,39,male
1994,11,injured,144.8833333,-38.46666667,wobbegong,3,1,provoked,diving,23,male
1995,2,uninjured,145.0833333,-38.51666667,sevengill shark,2.6,1,provoked,diving,34,male
1995,3,injured,132.9666667,-32.08333333,white shark,2,1,unprovoked,boarding,35,male
1995,3,uninjured,151.2333333,-33.85,bull shark,2.5,1,unprovoked,boarding,29,female
1995,5,uninjured,113.1333333,-24.83333333,tiger shark,3,1,unprovoked,diving,49,male
1995,9,fatal,120.6833333,-33.88333333,white shark,3,1,unprovoked,diving,29,male
1995,11,injured,150.95,-23.16666667,tiger shark,1.8,1,unprovoked,swimming,19,male
1995,12,injured,151.2666667,-33.55,bull shark,2.6,1,unprovoked,swimming,24,male
1996,1,injured,117.6833333,-35.05,wobbegong,0.7,1,provoked,spearfishing,40,male
1996,2,injured,151.2,-33.86666667,bull shark,2,1,unprovoked,swimming,24,male
1996,6,uninjured,145.0666667,-38.41666667,white shark,3,1,unprovoked,boarding,47,male
1997,1,injured,148.9666667,-20.25,tiger shark,2,1,unprovoked,snorkelling,27,male
1997,1,injured,153.5333333,-28.15,bull shark,1,1,unprovoked,boarding,8,male
1997,1,uninjured,145.0833333,-38.51666667,white shark,3,1,unprovoked,unmotorised boating,32,male
1997,2,uninjured,151.2,-33.86666667,bull shark,2,1,unprovoked,unmotorised boating,49,female
1997,7,injured,153.1,-26.65,tiger shark,1.5,1,unprovoked,boarding,18,male
1997,11,uninjured,144.45,-38.28333333,white shark,2,1,unprovoked,boarding,21,male
1997,11,injured,117.95,-35.13333333,white shark,5,1,unprovoked,diving,42,male
1998,1,injured,115.0166667,-34.21666667,wobbegong,2.4,1,provoked,diving,34,male
1998,1,uninjured,146.5,-18.66666667,tiger shark,3.3,1,unprovoked,snorkelling,45,male
1998,6,fatal,136.1,-35.31666667,white shark,4,1,unprovoked,snorkelling,26,male
1998,10,injured,153,-26.5,wobbegong,1.2,1,provoked,diving,37,male
1999,12,uninjured,152.6,-32.21666667,bronze whaler shark,2.9,1,unprovoked,diving,34,male
2000,2,injured,132.9833333,-32.08333333,white shark,3,1,unprovoked,boarding,26,male
2000,2,injured,115.7333333,-31.81666667,wobbegong,1.2,1,unprovoked,swimming,51,male
2000,3,injured,153.4166667,-27.96666667,white shark,2.6,1,unprovoked,swimming,26,male
2000,3,injured,115.0666667,-31.95,white shark,1.7,1,unprovoked,boarding,20,male
2000,3,uninjured,151.4166667,-33.48333333,white shark,3,1,unprovoked,boarding,38,male
2000,3,injured,151.2,-33.86666667,bull shark,0.8,1,unprovoked,swimming,61,male
2000,9,fatal,132.9666667,-32.08333333,white shark,4.5,1,unprovoked,boarding,25,male
2000,11,uninjured,146.5,-18.66666667,tiger shark,4,1,provoked,diving,28,male
2000,11,injured,115.75,-31.98333333,white shark,4,1,unprovoked,swimming,52,male
2000,11,uninjured,150.3833333,-34.63333333,white shark,2.9,1,unprovoked,swimming,40,male
2000,11,uninjured,134.65,-33.18333333,white shark,4,1,provoked,diving,27,male
2000,11,fatal,115.75,-31.98333333,white shark,4,1,unprovoked,swimming,49,male
2000,12,injured,151.9,-23.43333333,whaler shark,2.5,1,provoked,spearfishing,38,male
2001,1,uninjured,153.05,-30.88333333,white shark,5,1,unprovoked,unmotorised boating,35,male
2001,2,injured,153.3333333,-29.6,tiger shark,2.5,1,unprovoked,boarding,40,male
2001,3,injured,114.9833333,-33.96666667,wobbegong,1.5,1,unprovoked,snorkelling,19,male
2001,4,injured,151.2666667,-33.9,wobbegong,1,1,provoked,snorkelling,32,male
2001,5,injured,151.5333333,-33.23333333,white shark,3,1,unprovoked,boarding,37,male
2001,10,uninjured,153.4166667,-27.28333333,tiger shark,4,1,unprovoked,unmotorised boating,31,male
2001,10,injured,149.25,-16.91666667,silvertip shark,1.5,1,provoked,snorkelling,20,female
2001,11,injured,153.5333333,-28.81666667,white shark,2,1,unprovoked,boarding,49,male
2001,12,uninjured,115,-33.63333333,white shark,2,1,unprovoked,boarding,36,male
2002,1,injured,152.1833333,-32.73333333,bull shark,2.9,1,unprovoked,boarding,20,male
2002,2,injured,153.0833333,-26.36666667,whaler shark,1.5,1,unprovoked,boarding,36,male
2002,2,uninjured,151.2,-33.86666667,bull shark,2,1,unprovoked,unmotorised boating,35,male
2002,4,fatal,133.9255802,-32.38422037,white shark,6,1,provoked,diving,23,male
2002,8,uninjured,115.75,-31.96666667,white shark,3.5,1,unprovoked,boarding,34,male
2002,12,injured,151.2833333,-33.78333333,wobbegong,0.5,1,unprovoked,diving,35,male
2002,12,fatal,153.4166667,-28.05,bull shark,2,1,unprovoked,swimming,23,male
2003,2,fatal,153.1,-28.1,bull shark,2.2,1,unprovoked,swimming,84,male
2003,10,injured,153.1333333,-30.28333333,wobbegong,1.2,1,unprovoked,boarding,12,male
2003,10,injured,152.5166667,-32.43333333,wobbegong,1.5,1,unprovoked,boarding,22,male
2003,11,injured,114.9833333,-33.63333333,wobbegong,1.3,1,provoked,swimming,15,male
2003,11,injured,114.9833333,-33.96666667,wobbegong,1.3,1,provoked,swimming,15,male
2003,12,injured,114.9833333,-33.96666667,wobbegong,0.7,1,provoked,spearfishing,34,male
2004,1,injured,115.6833333,-33.13333333,white shark,4.5,1,provoked,spearfishing,46,male
2004,2,injured,151.65,-33.1,blind shark,0.6,1,provoked,spearfishing,22,male
2004,2,injured,115.75,-31.85,wobbegong,0.4,1,unprovoked,snorkelling,7,female
2004,2,injured,115.75,-31.85,wobbegong,0.4,1,unprovoked,snorkelling,38,male
2004,3,injured,115.0166667,-30.25,bronze whaler shark,1.5,1,provoked,spearfishing,47,male
2004,6,injured,115.6333333,-33.33333333,white shark,3,1,unprovoked,boarding,17,male
2004,7,injured,115.5333333,-31.98333333,wobbegong,1,1,unprovoked,diving,33,male
2004,7,fatal,114.9833333,-33.85,white shark,5,2,unprovoked,boarding,29,male
2004,8,injured,153.6166667,-28.63333333,grey nurse shark,2.4,1,provoked,spearfishing,42,male
2004,8,uninjured,145.0166667,-38.46666667,white shark,2,1,unprovoked,boarding,33,male
2004,10,injured,151.8333333,-32.85,white shark,2.5,1,unprovoked,boarding,59,male
2004,11,injured,152.5333333,-32.01666667,wobbegong,1.2,1,unprovoked,boarding,14,male
2004,12,fatal,137,-34.9,white shark,5,1,unprovoked,boarding,18,male
2005,2,injured,152.8166667,-27.55,bull shark,1.5,1,unprovoked,swimming,18,male
2005,3,uninjured,151.4833333,-33.38333333,white shark,4,1,unprovoked,boarding,31,male
2005,3,fatal,113.7833333,-28.71666667,white shark,6,1,unprovoked,snorkelling,26,male
2005,4,injured,136.8,-12.11666667,whaler shark,2,1,provoked,spearfishing,20,male
2005,4,uninjured,151.2666667,-33.9,white shark,1.5,1,unprovoked,boarding,40,male
2005,8,fatal,138.5,-34.96666667,white shark,5,1,unprovoked,diving,23,male
2005,9,uninjured,153.0833333,-30.88333333,tiger shark,3,1,unprovoked,boarding,28,male
