year,title,mpa,runtime,gross,rating_count,rating,metacritic,poster_brightness,poster_saturation,poster_edgeness,description
1971,Nympho Cycler,NA,52,NA,36,4.6,NA,55.119909848997004,44.92600396090356,1.7736157229937388,"A beautiful, love starved woman named Misty, leaves an abusive relationship with an odd man. She joins a pack of bikers and many sexual escapades and intense happenings occur on her adventure into a new freedom."
1971,Kiss This Miss,NA,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
1971,Side Street Girls,X,NA,NA,0,NA,NA,58.235131130537866,36.75704562340395,7.931110399112626,There is nothing they won't do and nothing you won't see as they climb to the top of the money ladder.
1971,Void Where Prohibited by Law,NA,NA,NA,0,NA,NA,NA,NA,NA,An experimental video production produced by The Conception Corporation a seventies comedy group. The format was skit humor but the material was far to outrageous to be shown on cable or regular TV at that time.
1971,Watch Out for the Bummer,X,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
1971,Russky,NA,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
1972,The Godfather,R,175,134.97,1511801,9.2,NA,16.002963975628955,42.69373084044863,1.6058517449728922,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
1972,The Poseidon Adventure,PG,117,84.56,38985,7.1,NA,33.39528744786823,38.14893948669725,7.476943827387235,Nine people explore a cruise ship at sea in a manner that turns their whole lives upside down.
1972,Jeremiah Johnson,GP,108,47.74,26975,7.6,NA,90.29197337650659,11.818746501755554,1.6529772824000568,"A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by the Crow tribe, and proves to be a match for their warriors in single combat on the early frontier."
1972,Cabaret,PG,124,42.77,45626,7.8,NA,12.719486718230828,53.52770667547189,2.19639482628393,A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.
1972,The Getaway,PG,123,36.73,26171,7.4,55,60.855481459363226,10.212535204431909,3.7232434496512026,A recently released ex-con and his loyal wife go on the run after a heist goes awry.
1972,Fritz the Cat,Unrated,78,25,10564,6.3,54,52.95951550875413,47.47687829782177,7.037466536491216,A hypocritical swinging college student cat raises hell in a satiric vision of various elements on the 1960s.
1972,Pete 'n' Tillie,PG,100,18.97,764,6.3,NA,65.94253733487831,12.103083131334131,3.431268263306258,"Tillie Shlai's not looking forward to meeting yet another blind date. This one's name being Pete Seltzer. Pete and Tillie are not a match made in heaven, he using wisecracking and constant ...                See full summary »"
1972,The Cowboys,GP,134,16.35,12475,7.4,52,84.51131873132705,11.5432961723014,4.5819146700780164,Rancher Wil Andersen is forced to hire inexperienced boys as cowhands in order to get his herd to market on time but the rough drive is full of dangers and a gang of cattle rustlers is trailing them.
1972,The Heartbreak Kid,PG,106,12.21,3687,6.9,NA,61.695869011163204,39.02902218516801,4.299797773679188,A newlywed man on his honeymoon has second thoughts about his marriage and falls for a different woman.
1972,Shaft's Big Score!,R,104,10,2474,6,NA,77.32727388448627,11.375059160101356,4.278028928076591,Shaft is back to find the murderer of an old friend on the cold hard city streets with a little help from his new friends.
1972,Conquest of the Planet of the Apes,PG,88,9.81,28830,6.1,49,60.88355715973509,20.166361391464243,6.130950103163353,"In a futuristic world that has embraced ape slavery, Caesar, the son of the late simians Cornelius and Zira, surfaces after almost twenty years of hiding out from the authorities, and prepares for a slave revolt against humanity."
1972,1776,G,141,6.1,7326,7.6,NA,75.90115532050848,24.96952741177457,4.7597210644198995,A musical retelling of the American Revolution's political struggle in the Continental Congress to declare independence.
1972,Avanti!,R,144,3.3,8861,7.2,NA,79.15110973608707,14.591623918808065,5.400383711311356,A successful businessman goes to Italy to arrange for the return of his tycoon-father's body only to discover dad died with his mistress of long standing.
1972,The Last House on the Left,R,84,3.1,30866,6,NA,49.5565523443568,1.8460183798283725,5.060200145785608,"Two teenage girls head to a rock concert for one's birthday. While trying to score marijuana in the city, they are kidnapped and brutalized by a gang of psychotic convicts."
1972,Blacula,PG,93,2.18,5411,5.7,NA,39.036780776985744,32.819655347335875,3.6733259659929303,"An ancient African prince, turned into a vampire by Dracula himself, finds himself in modern Los Angeles."
1972,Pink Flamingos,NC-17,93,0.18,20862,6.1,47,43.66304935936024,51.15550974877184,8.905653763266574,"Notorious Baltimore criminal and underground figure Divine goes up against a sleazy married couple who make a passionate attempt to humiliate her and seize her tabloid-given title as ""The Filthiest Person Alive""."
1972,Grease 2,NA,60,2.3e-5,0,NA,NA,29.113586741819404,15.96546609998328,8.857214328955754,Add a Plot
1972,Cine Dreams: Future Cinema of the Mind,NA,480,6.2e-5,0,NA,NA,NA,NA,NA,Add a Plot
1972,Don Quixote,NA,NA,5.8e-5,67,7.1,NA,39.209262898707856,36.11022335763339,3.391523017206767,"Don Quixote is an unfinished film project produced, written and directed by Orson Welles. Principal photography took place between 1957 and 1969. Test footage was filmed as early as 1955, ...                See full summary »"
1972,The Curse of a Faithful Wife,NA,NA,4.8e-5,0,NA,NA,NA,NA,NA,Add a Plot
1972,Call Me by My Rightful Name,NA,91,NA,0,NA,NA,NA,NA,NA,Friendship turns to resentment when a young woman comes between two roommates.
1972,The Rapture,Not Rated,50,NA,0,NA,NA,48.46997472766885,7.7390718308391575,6.901516850064465,"A newscast is interrupted with bulletins that people are suddenly disappearing, leaving chaos in their wake. Authorities announce a supercomputer in Europe will be used to track the survivors."
1972,The Great Massage Parlor Bust,NA,NA,NA,0,NA,NA,73.44146983944928,14.453958562621331,5.3273018888250485,Add a Plot
1972,ALCOA Aluminum,NA,56,NA,0,NA,NA,36.72515694989107,40.13648026842665,4.5391394441744275,"Alcoa Mill Products in Lancaster makes aluminum sheets that are used in the manufacture of trucks, autos, cookware, and construction materials. Their machined cast plate is used in a ...                See full summary »"
1972,Boots and the Preacher,NA,NA,NA,0,NA,NA,47.382295828132776,5.681482764506703,3.2105275852466453,Add a Plot
1972,The Great Raft Race!,NA,NA,NA,0,NA,NA,42.69689471237189,0,7.4370434155646,Add a Plot
1972,The Legend of Amaluk: An Arctic Odyssey,G,104,NA,0,NA,NA,63.74260250304176,43.878038451349056,4.58104318987735,Add a Plot
1972,Yao of the Jungle,PG,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
1972,Did Baby Shoot Her Sugardaddy?,R,82,NA,23,3.8,NA,49.22595913583308,33.955214061980236,3.019530059754089,"Baby, the sexy daughter of the millionaire's mistress, might have robbed the mob of millions. Or was it Yvonne, Baby's mother, who was the millionaire's sensually bored housewife? In the ...                See full summary »"
1972,Run Before the Wind,R,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
1972,The Circle,PG,95,NA,0,NA,NA,NA,NA,NA,Add a Plot
1972,Winter Love,PG,NA,NA,0,NA,NA,68.92903190528307,35.55203725928217,1.6489312020135718,"Penny (Monie Ellis) has an affair with a handsome ski instructor and eventually becomes pregnant, leading to complications."
1972,Dead End Dolls,R,NA,NA,0,NA,NA,70.29338973524271,16.214514297041717,6.274935248838869,Add a Plot
1972,A Clock Work Blue,X,86,NA,37,4.1,NA,65.0124820124128,44.01075762171153,7.405112455199429,Bumbling Jewish mama's boy researcher Homer acquires a magical watch that enables him to go through time. While traveling through time Homer encounters such notable historical figures as ...                See full summary »
1972,Class of '74,R,82,NA,62,4.5,NA,66.54378434470154,49.80300845162018,3.3804168557339525,Four young modern women in college set out to explore all that life has to give with various new relationships and to study the ones they have been exposed to in their past.
1972,Savage Connection,X,75,NA,0,NA,NA,34.5124046160657,52.467435223649495,2.132954083330603,"To a remote desert wasteland with a million dollars in heroin come David and Tis, to make a Savage Connection for the drug syndicate. Hiding enormous amounts of syndicate money from drug ...                See full summary »"
1972,Rolls: 1971,NA,71,NA,0,NA,NA,NA,NA,NA,Add a Plot
1972,Country Music,G,94,NA,0,NA,NA,44.52107084967321,61.0339592865351,5.598497683914192,Over four hours of pure Country soundtrack. Very relaxing and set to beautiful fireworks.
1972,The Bagel Report,X,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
1972,Willy's Gone,NA,NA,NA,0,NA,NA,75.08033100179642,2.3332334109466024,7.072241931363096,A young black man escapes the ghetto and flees to the country where he befriends a migrant organizer entangled in a labor dispute amidst racial prejudice.
1972,A Ton of Grass Goes to Pot,GP,79,NA,12,3.1,NA,81.03209764679663,0,2.2612166815172885,A group of friends plan to smuggle a ton of marijuana from Mexico to the US by using a hot-air balloon.
1972,Floyd Patterson vs. Pedro Agosto,NA,NA,NA,0,NA,NA,NA,NA,NA,Add a Plot
