date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,month,description
2015-05-10,22,16,28,11,21,2,34,1966,1979,0,0.33,5.33,May,dry
2015-05-11,25,21,29,11,21,2,33,1913,1993,0,0.3,4.24,May,dry
2015-05-12,24,18,30,12,21,4,34,1907,1881,0,0.33,4.67,May,dry
2015-05-13,17,12,21,12,21,4,32,1895,1956,0,0.3,4.22,May,dry
2015-05-14,17,10,23,12,21,4,31,1878,1900,0,0.3,8.59,May,dry
2015-05-15,18,13,24,12,22,6,32,1947,1900,0,0.33,2.95,May,dry
2015-05-16,19,14,24,12,22,6,32,1878,1951,0.76,0.33,6.76,May,rain
2015-05-17,23,18,28,12,22,4,33,1956,1974,0.05,0.33,2.67,May,rain
2015-05-18,20,16,24,13,22,5,32,1973,1936,0,0.33,5.54,May,dry
2015-05-19,21,15,27,13,22,3,37,1976,1962,0,0.33,5.13,May,dry
2015-05-20,16,12,19,13,22,6,36,2002,1996,0,0.36,5.16,May,dry
2015-05-21,14,11,17,13,22,4,34,1907,1996,0,0.36,4.93,May,dry
2015-05-22,18,13,23,13,22,7,36,1990,1941,0,0.38,3.17,May,dry
2015-05-23,16,9,21,13,23,6,34,1963,1964,0,0.38,6.86,May,dry
2015-05-24,21,13,27,13,23,4,34,1963,1975,0,0.38,5.26,May,dry
2015-05-25,24,18,29,14,23,5,35,1925,1880,0,0.38,2.18,May,dry
2015-05-26,26,19,31,14,23,6,35,1967,1880,0,0.38,3.25,May,dry
2015-05-27,26,21,29,14,23,5,36,1961,1880,0.2,0.36,6.65,May,rain
2015-05-28,26,21,29,14,23,6,34,1961,1959,0,0.36,2.95,May,dry
2015-05-29,24,18,29,14,23,6,36,1902,1969,0,0.41,10.13,May,dry
2015-05-30,24,19,29,14,24,6,36,1884,1987,0,0.38,5.56,May,dry
2015-05-31,22,14,31,15,24,8,36,1938,1939,3.71,0.38,7.95,May,rain
2015-06-01,13,11,14,15,24,7,36,1945,1895,1.83,0.41,6.6,June,rain
2015-06-02,12,10,13,15,24,9,36,1946,1895,0.94,0.41,7.09,June,rain
2015-06-03,16,11,21,16,24,7,35,1929,1895,0,0.41,7.65,June,dry
2015-06-04,16,12,18,16,24,9,37,1926,1925,0,0.41,6.99,June,dry
2015-06-05,17,13,21,16,24,8,37,1945,1925,0.33,0.41,7.11,June,rain
2015-06-06,20,16,24,16,25,8,37,1945,1925,0.48,0.41,6.65,June,rain
2015-06-07,18,13,23,16,25,8,36,1897,1925,0,0.41,10.57,June,dry
2015-06-08,22,17,26,16,25,8,35,1932,1933,0.15,0.41,3.73,June,rain
2015-06-09,24,20,28,17,26,8,36,1980,1933,0.03,0.41,6.48,June,rain
2015-06-10,23,18,28,17,26,9,36,1972,2008,0,0.41,5.26,June,dry
2015-06-11,27,22,32,17,26,8,35,1972,1973,0,0.41,2.9,June,dry
2015-06-12,27,23,31,17,26,9,34,1979,1973,0,0.41,5.54,June,dry
2015-06-13,26,22,30,17,26,11,36,1953,1961,0,0.41,4.34,June,dry
2015-06-14,25,19,31,17,26,9,37,1875,1956,0.91,0.41,6.45,June,rain
2015-06-15,23,18,28,18,26,9,36,1933,1994,1.45,0.38,2.87,June,rain
2015-06-16,22,18,26,18,27,11,36,1927,1891,0.69,0.38,3.33,June,rain
2015-06-17,23,19,28,18,27,11,36,1926,1957,0,0.41,4.62,June,dry
2015-06-18,20,18,22,18,27,9,35,1950,1929,0,0.36,5.84,June,dry
2015-06-19,26,20,31,18,27,11,37,1920,1994,0,0.36,5.49,June,dry
2015-06-20,21,18,24,18,27,9,37,1914,1923,0,0.33,3.53,June,dry
2015-06-21,27,22,31,18,27,9,36,1897,1988,1.63,0.36,4.32,June,rain
2015-06-22,26,21,31,19,27,11,37,1940,1988,0,0.33,4.98,June,dry
2015-06-23,28,24,32,19,27,9,36,1918,1888,0.05,0.33,4.45,June,rain
2015-06-24,24,20,29,19,28,11,36,1932,1888,0,0.33,3.71,June,dry
2015-06-25,23,18,28,19,28,10,37,1873,1952,0,0.36,3.25,June,dry
2015-06-26,24,21,27,19,28,13,38,1979,1952,0,0.33,10.9,June,dry
2015-06-27,18,14,22,19,28,13,38,1940,1966,2.84,0.3,5.36,June,rain
2015-06-28,20,17,23,19,28,12,36,1995,1991,0.74,0.33,4.29,June,rain
2015-06-29,21,17,24,19,28,11,38,1919,1934,0,0.3,6.53,June,dry
2015-06-30,24,20,28,19,28,12,37,1919,1964,0,0.33,7.8,June,dry
