student_number,section,title,year_release,budget,box_office,genre,personal_rating
30,2,Moon Man,2022,85600000,428000000,Fantasy,5
31,2,La La Land,2016,30000000,448900000,Comedy,4
31,2,Barbarian,2022,10500000,20000000,Horror,5
31,2,Dead Silence,2007,20000000,22400000,Horror,4
32,2,Dune,2021,165000000,401800000,Adventure,2
32,2,Cars,2006,120000000,462000000,Comedy,5
32,2,The Batman,2022,190000000,770000000,Action,5
33,2,Up,2009,175000000,735000000,Adventure,5
33,2,Dune,2021,100000000,100000000,Action,5
33,2,Interstellar,2014,160000000,400000000,Sci-Fi,5
34,2,Morbius,2022,10000000,160000000,Action,4.5
34,2,Baby Driver,2017,34000000,226900000,Action,5
34,2,Dallas Buyers Club,2013,5000000,55700000,Drama,4
35,2,Goodfellas,1990,25000000,47100000,Crime,5
35,2,The Legend of 1900,1998,9000000,20600000,Drama,5
35,2,Little Women,2019,40000000,206000000,Drama,4
36,2,The Shawshank Redemption,1994,25000000,73300000,Crime,5
36,2,Inglourious Basterds,2009,70000000,321500000,War,4
36,2,Encanto,2021,135000000,256800000,Musical,5
37,2,Belfast,2021,23000000,49100000,Drama,4.5
37,2,Grown Ups,2010,80000000,271400000,Comedy,4.5
37,2,F9,2021,200000000,726200000,Action,3
38,2,The Batman,2022,190000000,770800000,Action,4.5
38,2,Hateful 8,2015,52000000,156500000,Western,4.8
38,2,The Usual Suspects,1995,6000000,67000000,Thriller,4.8
39,2,The Lord of the Rings: The Fellowship of the Ring,2001,93000000,897000000,Fantasy,4.7
39,2,Mean Girls,2004,17000000,130100000,Comedy,4.5
39,2,Knives Out,2019,40000000,311400000,Mystery,5
40,2,Little Miss Sunshine,2006,8000000,101000000,Comedy,5
40,2,Jurassic Park,1993,63000000,1046000000,Sci-Fi,5
40,2,Paranorman,2012,60000000,107100000,Adventure,5
41,2,Jaws,1975,9000000,476400000,Horror,5
41,2,Everything Everywhere All at Once,2022,25000000,100800000,Sci-Fi,4.5
41,2,Ferris Bueller's Day Off,1986,5800000,70700000,Comedy,5
42,2,Spider-Man: No Way Home,2021,200000000,1901000000,Action,5
42,2,Top Gun,1986,15000000,357500000,Action,4.5
42,2,Interstellar,2014,165000000,701700000,Sci-Fi,4
43,2,Inside Out,2015,175000000,858800000,Children,3.5
43,2,La La Land,2016,30000000,448900000,Musical,5
43,2,The Way Way Back,2013,5000000,26900000,Comedy,4.5
44,2,Wind River,2017,11000000,45000000,Western,5
