doc_id,doc_id_out,count
Ben Jonson,James Joyce,2
Ben Jonson,Jane Austen,3
Ben Jonson,John Clare,1
Ben Jonson,John Donne,16
Ben Jonson,John Dryden,16
Ben Jonson,John Gower,1
Ben Jonson,John Keats,8
Ben Jonson,John Locke,7
Ben Jonson,John Milton,22
Ben Jonson,John Stuart Mill,1
Ben Jonson,Jonathan Swift,6
Ben Jonson,Joseph Conrad,2
Ben Jonson,Katherine Philipps,5
Ben Jonson,Lord Byron,4
Ben Jonson,Louis MacNeice,2
Ben Jonson,Margaret Cavendish,7
Ben Jonson,Mary Robinson,2
Ben Jonson,Mary Wollstonecraft,2
Ben Jonson,Matthew Arnold,2
Ben Jonson,Oscar Wilde,5
Ben Jonson,Percy Bysshe Shelley,3
Ben Jonson,Philip Sidney,8
Ben Jonson,Rex Warner,1
Ben Jonson,Robert Burns,3
Ben Jonson,Rudyard Kipling,5
Ben Jonson,Samuel Beckett,2
Ben Jonson,Samuel Johnson,10
Ben Jonson,Samuel Pepys,7
Ben Jonson,Samuel Taylor Coleridge,3
Ben Jonson,Seamus Heaney,1
Ben Jonson,Stephen Spender,1
Ben Jonson,T. S. Eliot,8
Ben Jonson,Thomas Hobbes,5
Ben Jonson,Thomas Malory,3
Ben Jonson,Thomas More,8
Ben Jonson,Virginia Woolf,3
Ben Jonson,W. B. Yeats,1
Ben Jonson,W. H. Auden,7
Ben Jonson,Walter Raleigh,8
Ben Jonson,William Blake,7
Ben Jonson,William Langland,1
Ben Jonson,William Shakespeare,27
Ben Jonson,William Wordsworth,2
Thomas Hobbes,Thomas More,2
Thomas Hobbes,Virginia Woolf,1
Thomas Hobbes,W. B. Yeats,1
Thomas Hobbes,W. H. Auden,3
Thomas Hobbes,Walter Raleigh,5
Thomas Hobbes,William Blake,4
Thomas Hobbes,William Langland,3
Thomas Hobbes,William Shakespeare,4
Thomas Hobbes,William Wordsworth,1
George Herbert,George Orwell,3
George Herbert,James Boswell,1
George Herbert,John Clare,3
George Herbert,John Donne,12
George Herbert,John Dryden,7
George Herbert,John Keats,1
George Herbert,John Locke,4
George Herbert,John Milton,7
George Herbert,John Stuart Mill,1
George Herbert,Jonathan Swift,2
George Herbert,Joseph Conrad,1
George Herbert,Katherine Philipps,2
George Herbert,Lord Byron,2
George Herbert,Louis MacNeice,3
George Herbert,Margaret Cavendish,2
George Herbert,Margery Kempe,2
George Herbert,Mary Wollstonecraft,1
George Herbert,Oscar Wilde,1
George Herbert,Philip Sidney,1
George Herbert,Rudyard Kipling,1
George Herbert,Samuel Johnson,6
George Herbert,Samuel Pepys,4
George Herbert,Samuel Taylor Coleridge,1
George Herbert,Stephen Spender,1
George Herbert,T. S. Eliot,3
George Herbert,Thomas Hobbes,2
George Herbert,Thomas Malory,1
George Herbert,Thomas More,4
