year,title,color_type,color,percentage
1970,Getting Straight,greyscale,grey,11.887886597938143
1970,Getting Straight,greyscale,white,62.53424588034743
1970,Getting Straight,hue,other,0
1970,The Ballad of Cable Hogue,hue,red,0.4713887814093228
1970,The Ballad of Cable Hogue,hue,orange,60.33659043836489
1970,The Ballad of Cable Hogue,hue,yellow,12.519773079024038
1970,The Ballad of Cable Hogue,hue,green,0
1970,The Ballad of Cable Hogue,hue,blue,6.75698743627094e-4
1970,The Ballad of Cable Hogue,hue,violet,1.084211978787327
1970,The Ballad of Cable Hogue,greyscale,black,4.88747126502185
1970,The Ballad of Cable Hogue,greyscale,grey,3.4872100896758926
1970,The Ballad of Cable Hogue,greyscale,white,17.21267866897305
1970,The Ballad of Cable Hogue,hue,other,0
1970,The Private Life of Sherlock Holmes,hue,red,4.4739983974358974
1970,The Private Life of Sherlock Holmes,hue,orange,1.6165464743589744
1970,The Private Life of Sherlock Holmes,hue,yellow,5.6671875
1970,The Private Life of Sherlock Holmes,hue,green,0.24142628205128203
1970,The Private Life of Sherlock Holmes,hue,blue,17.447115384615387
1970,The Private Life of Sherlock Holmes,hue,violet,0.0018429487179487181
1970,The Private Life of Sherlock Holmes,greyscale,black,5.941706730769231
1970,The Private Life of Sherlock Holmes,greyscale,grey,6.5822115384615385
1970,The Private Life of Sherlock Holmes,greyscale,white,58.02796474358974
1970,The Private Life of Sherlock Holmes,hue,other,0
1970,The Only Game in Town,hue,red,1.289207175925926
1970,The Only Game in Town,hue,orange,25.77264178240741
1970,The Only Game in Town,hue,yellow,0.0010127314814814814
1970,The Only Game in Town,hue,green,0
1970,The Only Game in Town,hue,blue,0.01439525462962963
1970,The Only Game in Town,hue,violet,0.7497829861111112
1970,The Only Game in Town,greyscale,black,13.150245949074074
1970,The Only Game in Town,greyscale,grey,11.82175925925926
1970,The Only Game in Town,greyscale,white,47.200954861111114
1970,The Only Game in Town,hue,other,0
1970,The Adventurers,hue,red,7.619763113367174
1970,The Adventurers,hue,orange,1.6499492385786803
1970,The Adventurers,hue,yellow,2.9532994923857867
1970,The Adventurers,hue,green,3.8477834179357027
1970,The Adventurers,hue,blue,4.3562774957698815
1970,The Adventurers,hue,violet,1.3536379018612522e-4
1970,The Adventurers,greyscale,black,25.52534686971235
1970,The Adventurers,greyscale,grey,5.45238578680203
1970,The Adventurers,greyscale,white,48.595059221658204
1970,The Adventurers,hue,other,0
1970,Diary of a Mad Housewife,hue,red,6.392575757575757
1970,Diary of a Mad Housewife,hue,orange,0.34772727272727266
1970,Diary of a Mad Housewife,hue,yellow,0.34727272727272723
1970,Diary of a Mad Housewife,hue,green,0
1970,Diary of a Mad Housewife,hue,blue,0
1970,Diary of a Mad Housewife,hue,violet,0
1970,Diary of a Mad Housewife,greyscale,black,62.658636363636354
1970,Diary of a Mad Housewife,greyscale,grey,3.8193939393939393
1970,Diary of a Mad Housewife,greyscale,white,26.434393939393942
1970,Diary of a Mad Housewife,hue,other,0
1970,Darling Lili,hue,red,11.995829954824512
1970,Darling Lili,hue,orange,11.173404378547435
1970,Darling Lili,hue,yellow,0.22008571759527396
1970,Darling Lili,hue,green,9.928678989260479e-4
1970,Darling Lili,hue,blue,0.16812563088481078
1970,Darling Lili,hue,violet,0.007611987225099701
1970,Darling Lili,greyscale,black,9.823765947940627
1970,Darling Lili,greyscale,grey,12.233456338634145
1970,Darling Lili,greyscale,white,54.376727176449165
1970,Darling Lili,hue,other,0
1970,The Great White Hope,hue,red,0
1970,The Great White Hope,hue,orange,0.20175450368839443
1970,The Great White Hope,hue,yellow,0.04205082781975405
1970,The Great White Hope,hue,green,0
1970,The Great White Hope,hue,blue,0
1970,The Great White Hope,hue,violet,0
1970,The Great White Hope,greyscale,black,37.19664130196521
1970,The Great White Hope,greyscale,grey,12.978719597027814
1970,The Great White Hope,greyscale,white,49.58083376949883
1970,The Great White Hope,hue,other,0
1970,A Man Called Horse,hue,red,12.074866240262116
1970,A Man Called Horse,hue,orange,2.2970076160267694
1970,A Man Called Horse,hue,yellow,0.08844699280224472
1970,A Man Called Horse,hue,green,0.015140556649645342
1970,A Man Called Horse,hue,blue,12.353822827166734
1970,A Man Called Horse,hue,violet,0.14367190086965614
1970,A Man Called Horse,greyscale,black,18.366366614963663
1970,A Man Called Horse,greyscale,grey,14.46990623747364
1970,A Man Called Horse,greyscale,white,40.19077101378553
1970,A Man Called Horse,hue,other,0
1970,The Twelve Chairs,hue,red,21.197997416020673
1970,The Twelve Chairs,hue,orange,0.0065003229974160215
1970,The Twelve Chairs,hue,yellow,0
1970,The Twelve Chairs,hue,green,0
1970,The Twelve Chairs,hue,blue,0
1970,The Twelve Chairs,hue,violet,0
1970,The Twelve Chairs,greyscale,black,9.828932493540051
1970,The Twelve Chairs,greyscale,grey,8.17013888888889
1970,The Twelve Chairs,greyscale,white,60.796430878552975
1970,The Twelve Chairs,hue,other,0
1970,Little Fauss and Big Halsy,hue,red,0.5324770500655712
1970,Little Fauss and Big Halsy,hue,orange,49.97068579804058
1970,Little Fauss and Big Halsy,hue,yellow,0.23354933271619222
1970,Little Fauss and Big Halsy,hue,green,5.78569775514927e-4
1970,Little Fauss and Big Halsy,hue,blue,0
1970,Little Fauss and Big Halsy,hue,violet,0
1970,Little Fauss and Big Halsy,greyscale,black,32.13993674303788
1970,Little Fauss and Big Halsy,greyscale,grey,7.524299930571626
1970,Little Fauss and Big Halsy,greyscale,white,9.598472575792641
1970,Little Fauss and Big Halsy,hue,other,0
1970,Song of Norway,hue,red,16.17393092105263
1970,Song of Norway,hue,orange,4.5718544407894735
1970,Song of Norway,hue,yellow,0.8102384868421054
1970,Song of Norway,hue,green,0.23715049342105265
1970,Song of Norway,hue,blue,1.8914473684210529
1970,Song of Norway,hue,violet,0.012129934210526319
1970,Song of Norway,greyscale,black,6.89782072368421
1970,Song of Norway,greyscale,grey,14.775699013157894
1970,Song of Norway,greyscale,white,54.629728618421055
1970,Song of Norway,hue,other,0
1970,Watermelon Man,hue,red,8.146084274230727
1970,Watermelon Man,hue,orange,0.5742114483533247
1970,Watermelon Man,hue,yellow,0.02739289695811435
1970,Watermelon Man,hue,green,0.0028164055624009857
1970,Watermelon Man,hue,blue,0.2683632157316368
1970,Watermelon Man,hue,violet,0.02357063226628444
1970,Watermelon Man,greyscale,black,6.241490012657061
1970,Watermelon Man,greyscale,grey,13.515595007585853
1970,Watermelon Man,greyscale,white,71.20047610665459
1970,Watermelon Man,hue,other,0
1970,Trash,hue,red,5.463264810987025
1970,Trash,hue,orange,0.06679895791506732
1970,Trash,hue,yellow,0.004158380805973659
1970,Trash,hue,green,0.22545310458883944
1970,Trash,hue,blue,0.020076768477248624
1970,Trash,hue,violet,0
1970,Trash,greyscale,black,7.933395982739276
1970,Trash,greyscale,grey,28.388683059339296
1970,Trash,greyscale,white,57.89816893514727
1970,Trash,hue,other,0
1970,Kelly's Heroes,hue,red,20.61392224678596
1970,Kelly's Heroes,hue,orange,7.189129647745743
1970,Kelly's Heroes,hue,yellow,9.210220226311613
1970,Kelly's Heroes,hue,green,1.692176150237635
1970,Kelly's Heroes,hue,blue,1.0251037967663168
1970,Kelly's Heroes,hue,violet,1.28084054197703
1970,Kelly's Heroes,greyscale,black,8.452407545774566
1970,Kelly's Heroes,greyscale,grey,11.46963896442024
1970,Kelly's Heroes,greyscale,white,39.0665608799809
1970,Kelly's Heroes,hue,other,0
1970,...tick... tick... tick...,hue,red,1.5473684210526317
1970,...tick... tick... tick...,hue,orange,0.34331983805668015
1970,...tick... tick... tick...,hue,yellow,0.015654520917678813
1970,...tick... tick... tick...,hue,green,0
1970,...tick... tick... tick...,hue,blue,0.29527665317139
1970,...tick... tick... tick...,hue,violet,0.01592442645074224
1970,...tick... tick... tick...,greyscale,black,7.693657219973009
1970,...tick... tick... tick...,greyscale,grey,69.61727395411606
1970,...tick... tick... tick...,greyscale,white,20.471524966261807
1970,...tick... tick... tick...,hue,other,0
1970,Where's Poppa?,hue,red,1.161010101010101
1970,Where's Poppa?,hue,orange,0.0047138047138047135
1970,Where's Poppa?,hue,yellow,5.387205387205387e-4
1970,Where's Poppa?,hue,green,2.0202020202020202e-4
1970,Where's Poppa?,hue,blue,0
1970,Where's Poppa?,hue,violet,0
1970,Where's Poppa?,greyscale,black,24.923097643097645
1970,Where's Poppa?,greyscale,grey,21.561481481481483
1970,Where's Poppa?,greyscale,white,52.34895622895623
1970,Where's Poppa?,hue,other,0
1970,Cromwell,hue,red,28.684172541121182
1970,Cromwell,hue,orange,2.3861698556562607
1970,Cromwell,hue,yellow,0.2010741859684458
1970,Cromwell,hue,green,0.04885867740852635
1970,Cromwell,hue,blue,0.616012084592145
1970,Cromwell,hue,violet,0.01416582745887882
1970,Cromwell,greyscale,black,11.876837865055387
1970,Cromwell,greyscale,grey,6.262353138637127
1970,Cromwell,greyscale,white,49.91035582410205
1970,Cromwell,hue,other,0
1970,Zabriskie Point,hue,red,19.08388783269962
1970,Zabriskie Point,hue,orange,25.932509505703422
1970,Zabriskie Point,hue,yellow,3.152269486692015
1970,Zabriskie Point,hue,green,8.317490494296579e-4
1970,Zabriskie Point,hue,blue,0.14246673003802282
1970,Zabriskie Point,hue,violet,1.188212927756654e-4
1970,Zabriskie Point,greyscale,black,10.08578897338403
