doc_id,year,month,day,views
Thomas Malory,2023,9,29,185
Thomas More,2023,8,1,2033
Thomas More,2023,8,2,2000
Thomas More,2023,8,3,1908
Thomas More,2023,8,4,1929
Thomas More,2023,8,5,2084
Thomas More,2023,8,6,2316
Thomas More,2023,8,7,2219
Thomas More,2023,8,8,2194
Thomas More,2023,8,9,2071
Thomas More,2023,8,10,1969
Thomas More,2023,8,11,1931
Thomas More,2023,8,12,2086
Thomas More,2023,8,13,2421
Thomas More,2023,8,14,2162
Thomas More,2023,8,15,2034
Thomas More,2023,8,16,1893
Thomas More,2023,8,17,1963
Thomas More,2023,8,18,1929
Thomas More,2023,8,19,1907
Thomas More,2023,8,20,2071
Thomas More,2023,8,21,2250
Thomas More,2023,8,22,2149
Thomas More,2023,8,23,1972
Thomas More,2023,8,24,1944
Thomas More,2023,8,25,2020
Thomas More,2023,8,26,1928
Thomas More,2023,8,27,2086
Thomas More,2023,8,28,2346
Thomas More,2023,8,29,2325
Thomas More,2023,8,30,2226
Thomas More,2023,8,31,2218
Thomas More,2023,9,1,1973
Thomas More,2023,9,2,1942
Thomas More,2023,9,3,2117
Thomas More,2023,9,4,2250
Thomas More,2023,9,5,2211
Thomas More,2023,9,6,2181
Thomas More,2023,9,7,2281
Thomas More,2023,9,8,2150
Thomas More,2023,9,9,1882
Thomas More,2023,9,10,2247
Thomas More,2023,9,11,2212
Thomas More,2023,9,12,2198
Thomas More,2023,9,13,2357
Thomas More,2023,9,14,2209
Thomas More,2023,9,15,2045
Thomas More,2023,9,16,1995
Thomas More,2023,9,17,2151
Thomas More,2023,9,18,2172
Thomas More,2023,9,19,2231
Thomas More,2023,9,20,2186
Thomas More,2023,9,21,2251
Thomas More,2023,9,22,2093
Thomas More,2023,9,23,1917
Thomas More,2023,9,24,2179
Thomas More,2023,9,25,2320
Thomas More,2023,9,26,2249
Thomas More,2023,9,27,2151
Thomas More,2023,9,28,2135
Thomas More,2023,9,29,2067
Edmund Spenser,2023,8,1,393
Edmund Spenser,2023,8,2,435
Edmund Spenser,2023,8,3,388
Edmund Spenser,2023,8,4,305
Edmund Spenser,2023,8,5,332
Edmund Spenser,2023,8,6,378
Edmund Spenser,2023,8,7,441
Edmund Spenser,2023,8,8,434
Edmund Spenser,2023,8,9,448
Edmund Spenser,2023,8,10,624
Edmund Spenser,2023,8,11,416
Edmund Spenser,2023,8,12,374
Edmund Spenser,2023,8,13,419
Edmund Spenser,2023,8,14,406
Edmund Spenser,2023,8,15,391
Edmund Spenser,2023,8,16,477
Edmund Spenser,2023,8,17,480
Edmund Spenser,2023,8,18,416
Edmund Spenser,2023,8,19,418
Edmund Spenser,2023,8,20,440
Edmund Spenser,2023,8,21,464
Edmund Spenser,2023,8,22,427
Edmund Spenser,2023,8,23,422
Edmund Spenser,2023,8,24,492
Edmund Spenser,2023,8,25,396
Edmund Spenser,2023,8,26,308
Edmund Spenser,2023,8,27,355
Edmund Spenser,2023,8,28,464
Edmund Spenser,2023,8,29,483
Edmund Spenser,2023,8,30,403
Edmund Spenser,2023,8,31,393
Edmund Spenser,2023,9,1,380
Edmund Spenser,2023,9,2,441
Edmund Spenser,2023,9,3,403
Edmund Spenser,2023,9,4,416
Edmund Spenser,2023,9,5,419
Edmund Spenser,2023,9,6,491
Edmund Spenser,2023,9,7,485
Edmund Spenser,2023,9,8,376
Edmund Spenser,2023,9,9,442
Edmund Spenser,2023,9,10,449
Edmund Spenser,2023,9,11,479
Edmund Spenser,2023,9,12,548
Edmund Spenser,2023,9,13,566
Edmund Spenser,2023,9,14,569
Edmund Spenser,2023,9,15,412
Edmund Spenser,2023,9,16,475
Edmund Spenser,2023,9,17,507
Edmund Spenser,2023,9,18,485
Edmund Spenser,2023,9,19,494
Edmund Spenser,2023,9,20,500
Edmund Spenser,2023,9,21,534
Edmund Spenser,2023,9,22,441
Edmund Spenser,2023,9,23,429
Edmund Spenser,2023,9,24,392
Edmund Spenser,2023,9,25,434
Edmund Spenser,2023,9,26,474
Edmund Spenser,2023,9,27,420
Edmund Spenser,2023,9,28,461
Edmund Spenser,2023,9,29,400
Walter Raleigh,2023,8,1,1468
Walter Raleigh,2023,8,2,1335
Walter Raleigh,2023,8,3,1241
Walter Raleigh,2023,8,4,1225
Walter Raleigh,2023,8,5,1389
Walter Raleigh,2023,8,6,2326
Walter Raleigh,2023,8,7,1859
Walter Raleigh,2023,8,8,1453
Walter Raleigh,2023,8,9,1271
Walter Raleigh,2023,8,10,12365
Walter Raleigh,2023,8,11,4815
Walter Raleigh,2023,8,12,3048
Walter Raleigh,2023,8,13,2617
Walter Raleigh,2023,8,14,2535
Walter Raleigh,2023,8,15,2354
Walter Raleigh,2023,8,16,2301
Walter Raleigh,2023,8,17,2224
Walter Raleigh,2023,8,18,2836
Walter Raleigh,2023,8,19,2083
Walter Raleigh,2023,8,20,2470
Walter Raleigh,2023,8,21,2068
Walter Raleigh,2023,8,22,1847
Walter Raleigh,2023,8,23,1889
Walter Raleigh,2023,8,24,1821
