food_code,food_code_description,category_number,category_description
92510730,"Fruit punch, made with soda, fruit juice, and sherbet or ice cream",7204,Fruit drinks
92510955,"Lemonade, fruit juice drink",7204,Fruit drinks
92510960,"Lemonade, fruit flavored drink",7204,Fruit drinks
92511000,"Lemonade, frozen concentrate, not reconstituted",7204,Fruit drinks
92511015,Fruit flavored drink,7204,Fruit drinks
92511250,"Fruit juice beverage, 40-50% juice, citrus",7204,Fruit drinks
92512040,"Frozen daiquiri mix, frozen concentrate, not reconstituted",7204,Fruit drinks
92512050,"Frozen daiquiri mix, from frozen concentrate, reconstituted",7204,Fruit drinks
92512090,"Pina Colada, nonalcoholic",7204,Fruit drinks
92512110,"Margarita mix, nonalcoholic",7204,Fruit drinks
92513000,Slush frozen drink,7204,Fruit drinks
92513010,"Slush frozen drink, no sugar added",7106,Other diet drinks
92530410,"Fruit flavored drink, with high vitamin C",7204,Fruit drinks
92530510,"Cranberry juice drink, with high vitamin C",7204,Fruit drinks
92530610,"Fruit juice drink, with high vitamin C",7204,Fruit drinks
92530950,"Vegetable and fruit juice drink, with high vitamin C",7204,Fruit drinks
92531030,Fruit juice drink (Sunny D),7204,Fruit drinks
92541010,"Fruit flavored drink, powdered, reconstituted",7204,Fruit drinks
92542000,"Fruit flavored drink, with high vitamin C, powdered, reconstituted",7204,Fruit drinks
92550030,"Fruit juice drink, with high vitamin C, light",7204,Fruit drinks
92550035,"Fruit juice drink, light",7204,Fruit drinks
92550040,"Fruit juice drink, diet",7204,Fruit drinks
92550110,"Cranberry juice drink, with high vitamin C, light",7204,Fruit drinks
92550200,"Grape juice drink, light",7204,Fruit drinks
92550350,"Orange juice beverage, 40-50% juice, light",7204,Fruit drinks
92550360,"Apple juice beverage, 40-50% juice, light",7204,Fruit drinks
92550370,"Lemonade, fruit juice drink, light",7204,Fruit drinks
92550380,"Pomegranate juice beverage, 40-50% juice, light",7204,Fruit drinks
92550400,"Vegetable and fruit juice drink, with high vitamin C, diet",7106,Other diet drinks
92550405,"Vegetable and fruit juice drink, with high vitamin C, light",7204,Fruit drinks
92550610,"Fruit flavored drink, with high vitamin C, diet",7106,Other diet drinks
92550620,"Fruit flavored drink, diet",7106,Other diet drinks
92552000,"Fruit flavored drink, with high vitamin C, powdered, reconstituted, diet",7106,Other diet drinks
92552010,"Fruit flavored drink, powdered, reconstituted, diet",7106,Other diet drinks
92552020,"Fruit juice drink, reduced sugar (Sunny D)",7204,Fruit drinks
92552030,Fruit juice drink (Capri Sun),7204,Fruit drinks
92582100,"Fruit juice drink, with high vitamin C, plus added calcium",7204,Fruit drinks
92582110,"Fruit juice drink, added calcium (Sunny D)",7204,Fruit drinks
92610020,"Horchata beverage, made with water",7220,Smoothies and grain drinks
92610030,"Horchata beverage, made with milk",7220,Smoothies and grain drinks
92611010,Oatmeal beverage with water,7220,Smoothies and grain drinks
92611100,Oatmeal beverage with milk,7220,Smoothies and grain drinks
92612010,Sugar cane beverage,7204,Fruit drinks
92613010,Cornmeal beverage,7220,Smoothies and grain drinks
92613510,Cornmeal beverage with chocolate milk,7220,Smoothies and grain drinks
92801000,"Wine, nonalcoholic",7204,Fruit drinks
92802000,"Wine, light, nonalcoholic",7204,Fruit drinks
92803000,Nonalcoholic malt beverage,7204,Fruit drinks
92804000,Shirley Temple,7204,Fruit drinks
92900100,"Fruit flavored drink, with high vitamin C, powdered, not reconstituted",9999,Not included in a food category
92900110,"Fruit flavored drink, powdered, not reconstituted",9999,Not included in a food category
92900200,"Fruit flavored drink, powdered, not reconstituted, diet",9999,Not included in a food category
92900300,"Sports drink, dry concentrate, not reconstituted",9999,Not included in a food category
93101000,Beer,7502,Beer
93102000,"Beer, light",7502,Beer
93102100,"Beer, low carb",7502,Beer
93102200,"Beer, light, higher alcohol",7502,Beer
93102300,"Beer, higher alcohol",7502,Beer
93106000,"Alcoholic malt beverage, sweetened",7502,Beer
93106010,"Alcoholic malt beverage, higher alcohol, sweetened",7502,Beer
93106100,Alcoholic malt beverage,7502,Beer
93106500,Hard cider,7502,Beer
93201000,Cordial or liqueur,7506,Liquor and cocktails
93202000,"Cordial or liqueur, coffee flavored",7506,Liquor and cocktails
93301000,"Cocktail, NFS",7506,Liquor and cocktails
93301010,Alexander,7506,Liquor and cocktails
93301020,Bacardi cocktail,7506,Liquor and cocktails
93301030,Bloody Mary,7506,Liquor and cocktails
93301031,Canadian Club and soda,7506,Liquor and cocktails
93301032,Cape Cod,7506,Liquor and cocktails
93301040,Daiquiri,7506,Liquor and cocktails
93301045,"Gelatin shot, alcoholic",7506,Liquor and cocktails
93301050,Gimlet,7506,Liquor and cocktails
93301060,Gin and Tonic,7506,Liquor and cocktails
93301070,Grasshopper,7506,Liquor and cocktails
93301075,Greyhound,7506,Liquor and cocktails
93301080,High ball,7506,Liquor and cocktails
93301083,Jagerbomb,7506,Liquor and cocktails
93301085,Kamikaze,7506,Liquor and cocktails
93301090,Manhattan,7506,Liquor and cocktails
93301100,Margarita,7506,Liquor and cocktails
93301110,Martini,7506,Liquor and cocktails
93301111,"Martini, flavored",7506,Liquor and cocktails
93301115,Mimosa,7504,Wine
93301120,Mint julep,7506,Liquor and cocktails
93301125,Mojito,7506,Liquor and cocktails
93301130,Old fashioned,7506,Liquor and cocktails
93301132,Orange Blossom,7506,Liquor and cocktails
93301135,Rob Roy,7506,Liquor and cocktails
93301136,Rusty Nail,7506,Liquor and cocktails
93301139,Salty Dog,7506,Liquor and cocktails
93301140,Screwdriver,7506,Liquor and cocktails
93301141,Seabreeze,7506,Liquor and cocktails
93301142,Seven and Seven,7506,Liquor and cocktails
93301150,Tom Collins,7506,Liquor and cocktails
93301160,Whiskey sour,7506,Liquor and cocktails
93301170,Whiskey and soda,7506,Liquor and cocktails
93301181,Whiskey and water,7506,Liquor and cocktails
93301182,Whiskey and cola,7506,Liquor and cocktails
93301183,Whiskey and diet cola,7506,Liquor and cocktails
93301184,Whiskey and ginger ale,7506,Liquor and cocktails
93301190,Rum and cola,7506,Liquor and cocktails
93301191,Rum and diet cola,7506,Liquor and cocktails
93301200,Pina Colada,7506,Liquor and cocktails
93301205,Brandy and cola,7506,Liquor and cocktails
93301211,Vodka and soda,7506,Liquor and cocktails
93301213,Vodka and lemonade,7506,Liquor and cocktails
93301214,Vodka and cola,7506,Liquor and cocktails
93301215,Vodka and diet cola,7506,Liquor and cocktails
93301216,Vodka and energy drink,7506,Liquor and cocktails
93301217,Vodka and water,7506,Liquor and cocktails
93301218,Vodka and tonic,7506,Liquor and cocktails
93301230,Sloe gin fizz,7506,Liquor and cocktails
93301240,Black Russian,7506,Liquor and cocktails
93301250,White Russian,7506,Liquor and cocktails
93301270,"Fruit punch, alcoholic",7506,Liquor and cocktails
93301275,Champagne punch,7504,Wine
93301280,Singapore Sling,7506,Liquor and cocktails
93301290,Stinger,7506,Liquor and cocktails
93301310,Mai Tai,7506,Liquor and cocktails
93301320,Tequila Sunrise,7506,Liquor and cocktails
93301330,Gin Rickey,7506,Liquor and cocktails
93301340,Golden Cadillac,7506,Liquor and cocktails
93301360,Long Island iced tea,7506,Liquor and cocktails
93301370,Fuzzy Navel,7506,Liquor and cocktails
93301400,Irish Coffee,7506,Liquor and cocktails
